ticker,shares,entry_date,target_exit,est_entry,stop,tp,order_id,status,exit_date,exit_price,dollar_pnl
BKNG,51,2026-08-03,2026-08-13,193.2231,183.36,227.75,646,closed_pending,,,
BSX,203,2026-08-05,2026-08-15,49.4655,46.64,57.93,723,open,,,
AMD,21,2026-08-10,2026-08-20,471.2819,447.15,555.4,811,open,,,
ARE,200,2026-08-10,2026-08-20,48.69,45.93,57.05,816,open,,,
AMAT,18,2026-08-11,2026-08-21,548.0006,501.08,622.39,850,open,,,
AMD,20,2026-07-31,2026-08-10,462.4745,453.66,563.5,617,closed,2026-08-10,477.68,304.11
BIIB,49,2026-07-27,2026-08-06,203.0222,190.13,236.17,402,closed,2026-08-10,206.7,180.21
BKR,165,2026-07-27,2026-08-06,60.5067,57.56,71.5,407,closed,2026-08-10,62.05,254.64
APH,65,2026-07-24,2026-08-03,154.0468,145.24,180.4,367,closed,2026-07-28,145.44,-559.44
AMD,19,2026-07-24,2026-08-03,523.29,496.47,616.67,362,closed,2026-07-27,496.23,-516.54
AMD,23,2026-07-29,2026-08-08,463.5474,402.8,500.32,478,closed,2026-07-31,510.28,1074.85
