ticker,direction,shares,entry_date,target_exit,est_entry,stop,tp,order_id,status,source,exit_date,exit_price,dollar_pnl
GEHC,LONG,144,2026-07-29,2026-07-30,68.4076,63.65,83.03,457,closed,premarket,2026-07-30,71.03,377.63
ACN,SHORT,75,2026-06-18,2026-06-19,133.24,143.9,106.59,5,cancelled,premarket,,,
CHTR,SHORT,90,2026-07-24,2026-07-25,113.22,118.92,88.09,338,closed,premarket,2026-07-24,119.29,-548.73
VRT,SHORT,41,2026-07-29,2026-07-30,242.92,262.35,194.34,447,cancelled,premarket,2026-07-30,,0.0
AON,SHORT,28,2026-07-29,2026-07-30,354.01,382.33,283.21,452,cancelled,premarket,2026-07-30,,0.0
LII,SHORT,20,2026-07-29,2026-07-30,490.0,529.2,392.0,462,cancelled,premarket,2026-07-30,,0.0
MAS,SHORT,133,2026-07-29,2026-07-30,75.0,81.0,60.0,467,cancelled,premarket,2026-07-30,,0.0
PWR,LONG,15,2026-07-30,2026-07-31,630.0,579.6,756.0,516,cancelled,premarket,2026-07-30,,0.0
EME,LONG,13,2026-07-30,2026-07-31,763.9,702.79,916.68,521,cancelled,premarket,2026-07-30,,0.0
BAX,LONG,349,2026-07-30,2026-07-31,28.6,26.31,34.32,526,cancelled,premarket,2026-07-30,,0.0
AVY,LONG,55,2026-07-30,2026-07-31,181.0,166.52,217.2,531,cancelled,premarket,2026-07-30,,0.0
HII,LONG,32,2026-07-30,2026-07-31,312.5,287.5,375.0,536,cancelled,premarket,2026-07-30,,0.0
NCLH,SHORT,517,2026-07-30,2026-07-31,19.01,20.85,15.45,541,open,premarket,,,
