ticker,shares,entry_date,target_exit,est_entry,stop,order_id,status,score,exit_date,exit_price,dollar_pnl
MU,9,2026-07-02,2026-07-23,1013.62,932.42,1336289103,closed,8,2026-07-07,932.42,-829.38
LRCX,24,2026-07-02,2026-07-23,384.05,353.0,1336289068,cancelled,8,2026-07-06,,0.0
CAT,9,2026-07-02,2026-07-23,980.12,901.6,1336289087,closed,8,2026-07-15,901.09,-711.29
PANW,28,2026-07-02,2026-07-23,350.65,325.68,1336289060,closed,8,2026-07-08,325.57,-704.63
AMAT,14,2026-07-02,2026-07-23,650.71,599.84,1336289093,closed,8,2026-07-02,599.5,-716.94
CSX,196,2026-08-03,2026-08-24,50.87,46.8,628,pending_open,9,,,
UNP,34,2026-08-03,2026-08-24,292.13,268.76,632,pending_open,8,,,
AMGN,25,2026-08-03,2026-08-24,387.81,356.79,636,pending_open,8,,,
PM,52,2026-08-03,2026-08-24,190.82,175.55,640,pending_open,8,,,
MRK,76,2026-08-03,2026-08-24,130.7,120.24,644,pending_open,7,,,
