ticker,shares,entry_date,target_exit,est_entry,stop,order_id,status,score,exit_date,exit_price,dollar_pnl
CSX,196,2026-08-03,2026-08-24,50.5856,46.8,628,closed,9,2026-08-25,52.0,277.22
UNP,34,2026-08-03,2026-08-24,295.3321,268.76,632,closed,8,2026-08-25,308.5,447.71
AMGN,25,2026-08-03,2026-08-24,390.0436,356.79,636,closed,8,2026-08-25,440.31,1256.66
PM,52,2026-08-03,2026-08-24,192.521,175.55,640,closed,8,2026-08-25,190.24,-118.61
MU,9,2026-07-02,2026-07-23,1013.62,932.42,1336289103,closed,8,2026-07-07,932.42,-829.38
LRCX,24,2026-07-02,2026-07-23,384.05,353.0,1336289068,cancelled,8,2026-07-06,,0.0
CAT,9,2026-07-02,2026-07-23,980.12,901.6,1336289087,closed,8,2026-07-15,901.09,-711.29
PANW,28,2026-07-02,2026-07-23,350.65,325.68,1336289060,closed,8,2026-07-08,325.57,-704.63
AMAT,14,2026-07-02,2026-07-23,650.71,599.84,1336289093,closed,8,2026-07-02,599.5,-716.94
MRK,76,2026-08-03,2026-08-24,130.7,120.24,644,cancelled,7,,,0.0
